GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
INF1163_TP_Cami_William,default,App,308,0,0,0,67,0,10,0,10,0
INF1163_TP_Cami_William,controller,DragController,30,0,0,0,10,0,7,0,7,0
INF1163_TP_Cami_William,controller,MenuController,135,15,6,0,33,5,9,2,6,2
INF1163_TP_Cami_William,controller,MouseController,17,0,0,0,5,0,2,0,2,0
INF1163_TP_Cami_William,controller,ImageDragController,88,0,0,0,21,0,8,0,8,0
INF1163_TP_Cami_William,controller,Controller,6,6,0,0,3,3,1,1,1,1
INF1163_TP_Cami_William,view,MainView,5,0,0,0,2,0,1,0,1,0
INF1163_TP_Cami_William,view,AbstractView,59,0,2,0,19,0,4,0,3,0
INF1163_TP_Cami_William,view,SecondaryView,195,0,2,0,44,0,4,0,3,0
INF1163_TP_Cami_William,view,ThumbnailView,111,0,2,0,27,0,4,0,3,0
INF1163_TP_Cami_William,persistence,PersistenceManager,8,89,2,4,2,20,3,4,1,3
INF1163_TP_Cami_William,model,ImageModel,64,19,2,0,22,6,8,1,7,1
INF1163_TP_Cami_William,model,Perspective,13,74,1,1,4,23,2,9,1,9
INF1163_TP_Cami_William,model,PerspectiveMemento,0,21,0,0,0,8,0,4,0,4
INF1163_TP_Cami_William,history,HistoryManager,0,89,2,6,0,25,2,10,0,8
INF1163_TP_Cami_William,strategy,CopyScale,0,8,0,0,0,3,0,2,0,2
INF1163_TP_Cami_William,strategy,CopyTranslation,0,10,0,0,0,3,0,2,0,2
INF1163_TP_Cami_William,strategy,CopyNone,0,4,0,0,0,2,0,2,0,2
INF1163_TP_Cami_William,strategy,CopyBoth,0,14,0,0,0,4,0,2,0,2
INF1163_TP_Cami_William,command,TranslateCommand,0,43,0,0,0,12,0,3,0,3
INF1163_TP_Cami_William,command,SavePerspectiveCommand,7,21,0,0,3,8,1,2,1,2
INF1163_TP_Cami_William,command,TranslateManager,3,0,0,0,1,0,1,0,1,0
INF1163_TP_Cami_William,command,LoadPerspectiveCommand,15,26,2,0,5,9,2,2,1,2
INF1163_TP_Cami_William,command,ZoomCommand,0,40,0,2,0,11,0,4,0,3
INF1163_TP_Cami_William,command,LoadImageCommand,16,0,0,0,7,0,3,0,3,0
